batter_name,PA_all,PA_high,wOBA_all,wOBA_high,OPS_all,OPS_high,K%_all,K%_high,ClutchFactor,LI_used_in_flag
mitch garver,290,68.0,0.2897923875432526,0.32238805970149254,0.642171252983621,0.7685475444096134,0.27586206896551724,0.27941176470588236,0.4714036257753566,False
shohei ohtani,717,114.0,0.4327116212338594,0.4723300970873786,1.0098781455043622,1.0780727630285152,0.2594142259414226,0.22807017543859648,0.4625762286559,False
ke'bryan hayes,570,109.0,0.28306595365418896,0.3292452830188679,0.5959958040462892,0.696969696969697,0.19298245614035087,0.22935779816513763,0.45854996922987956,False
tyrone taylor,341,65.0,0.27596439169139464,0.3103174603174603,0.5999518536350505,0.6840572033898304,0.22287390029325513,0.2,0.4506516868520572,False
steven kwan,698,125.0,0.3173691860465116,0.35040650406504065,0.7028239202657807,0.8095238095238095,0.08595988538681948,0.088,0.4469258633783538,False
cj abrams,639,87.0,0.3313586097946288,0.36104651162790696,0.744755150469205,0.8497093023255813,0.19561815336463223,0.1839080459770115,0.4453927363721031,False
nick kurtz,490,67.0,0.4268041237113402,0.4621212121212121,1.002350859701084,1.0942760942760943,0.3081632653061224,0.31343283582089554,0.4323725115569385,False
trea turner,642,114.0,0.3704545454545454,0.4168141592920354,0.8090793918918919,0.8899749373433584,0.16666666666666666,0.21052631578947367,0.42138621897297057,False
christian walker,640,102.0,0.31752738654147106,0.348019801980198,0.7192549588776004,0.7865027882098554,0.2765625,0.24509803921568626,0.41869633723046557,False
addison barger,503,84.0,0.3301204819277109,0.36687499999999995,0.7553622559652928,0.8241915028535194,0.24055666003976142,0.23809523809523808,0.4151486696001199,False
j. p. crawford,656,131.0,0.336547433903577,0.36693548387096775,0.7201908261230295,0.7677448337825696,0.18597560975609756,0.1450381679389313,0.40127866228486364,False
yandy díaz,651,112.0,0.3797045101088647,0.4197247706422018,0.8504107610363817,0.9111558366877517,0.13978494623655913,0.15178571428571427,0.4012563543775553,False
corbin carroll,645,101.0,0.38113207547169814,0.4056701030927835,0.8811325998013466,0.9390797903319744,0.23565891472868217,0.18811881188118812,0.39690777747023126,False
anthony volpe,597,92.0,0.2929173693086003,0.3327777777777778,0.6650167202978106,0.7478310339923198,0.24958123953098826,0.29347826086956524,0.39372635935207234,False
juan soto,716,115.0,0.41128571428571425,0.44027777777777777,0.9225265380329599,1.0008116883116882,0.18994413407821228,0.19130434782608696,0.3878707572573412,False
isiah kiner-falefa,460,98.0,0.29812775330396474,0.33157894736842103,0.6306901615271658,0.6414860681114551,0.1673913043478261,0.11224489795918367,0.3797963397369229,False
nolan gorman,403,70.0,0.2982456140350877,0.32971014492753625,0.6657719546742209,0.7095238095238094,0.337468982630273,0.3142857142857143,0.3793421534010478,False
matt shaw,429,64.0,0.323536299765808,0.33515625,0.7011764705882353,0.7915398660986002,0.2097902097902098,0.1875,0.35270016664508236,False
jonathan aranda,422,74.0,0.3954326923076923,0.4154929577464789,0.8853705734373992,0.9448164396213345,0.25355450236966826,0.22972972972972974,0.3494357660111029,False
brendan donovan,517,72.0,0.3445098039215686,0.3707142857142857,0.7741208563126372,0.806497175141243,0.12959381044487428,0.1111111111111111,0.3326636931926545,False
carlos narváez,446,77.0,0.32308558558558553,0.3506666666666667,0.7270471464019852,0.7557575757575759,0.24887892376681614,0.23376623376623376,0.3297347840751656,False
mickey moniak,461,67.0,0.35032679738562095,0.38846153846153847,0.826293441732236,0.8960292580982236,0.2386117136659436,0.31343283582089554,0.32937774077366466,False
nolan arenado,437,74.0,0.30466200466200466,0.3357142857142857,0.6666149621407972,0.7492096944151738,0.10983981693363844,0.17567567567567569,0.3256842947592956,False
josh naylor,605,95.0,0.36619365609348914,0.3876344086021505,0.8171017568101067,0.8475191086928359,0.1371900826446281,0.10526315789473684,0.32384147950166997,False
bobby witt,687,104.0,0.37640532544378696,0.39801980198019804,0.855214332924181,0.9134782608695652,0.1804949053857351,0.18269230769230768,0.32350402565060626,False
vladimir guerrero,680,104.0,0.38654708520179376,0.4065656565656566,0.8500291337237922,0.9020094829532626,0.13529411764705881,0.125,0.32210190128997856,False
alec burleson,546,90.0,0.3573012939001849,0.3825842696629213,0.8038360030311741,0.8557584269662921,0.1446886446886447,0.15555555555555556,0.3210174911051563,False
iván herrera,452,65.0,0.3809151785714286,0.40555555555555556,0.8405991401229717,0.875,0.18584070796460178,0.18461538461538463,0.3073856457201362,False
rowdy tellez,313,58.0,0.31330128205128205,0.32931034482758625,0.7187986651835372,0.7758620689655172,0.26517571884984026,0.25862068965517243,0.3061626309738036,False
jackson chourio,590,95.0,0.343015332197615,0.3574468085106383,0.7722813036020584,0.834678405478112,0.20508474576271185,0.2,0.30469874852726303,False
bryce harper,580,96.0,0.3693379790940767,0.38457446808510637,0.8457781144816088,0.9066752246469834,0.20689655172413793,0.21875,0.2857999950015281,False
jeff mcneil,462,76.0,0.33585526315789477,0.3513698630136986,0.7487468671679198,0.7946570972886762,0.11688311688311688,0.11842105263157894,0.27797631545418,False
javier sanoja,342,77.0,0.31572700296735906,0.33199999999999996,0.6865852958619503,0.7242562929061784,0.11988304093567251,0.11688311688311688,0.27513414530300073,False
wyatt langford,574,90.0,0.34833333333333333,0.3649425287356322,0.7768336860227395,0.7953558052434457,0.26306620209059234,0.24444444444444444,0.2680031695239956,False
christian yelich,647,105.0,0.35612244897959183,0.3705,0.7904499904907063,0.8096308186195826,0.2534775888717156,0.22857142857142856,0.26612647616455565,False
gunnar henderson,651,91.0,0.3546021840873635,0.3668539325842696,0.7898680588718202,0.8454755121421789,0.2073732718894009,0.21978021978021978,0.26355113780383305,False
spencer steer,568,105.0,0.3270390070921986,0.34182692307692303,0.7238833736112802,0.7602636127917026,0.22711267605633803,0.22857142857142856,0.26093496382888876,False
dane myers,334,71.0,0.28018018018018015,0.29014084507042254,0.615966615966616,0.6316359696641387,0.23053892215568864,0.19718309859154928,0.2506426320141653,False
nick gonzales,409,69.0,0.3014742014742015,0.3094202898550725,0.6624911124038524,0.7083629471689172,0.17603911980440098,0.17391304347826086,0.24697561832460818,False
nolan schanuel,566,108.0,0.3440754039497307,0.3602941176470588,0.7419590376401007,0.717032967032967,0.1254416961130742,0.07407407407407407,0.24316487318150665,False
trent grisham,582,97.0,0.37134251290877796,0.37864583333333335,0.8103026825918391,0.8669975817742142,0.23539518900343642,0.24742268041237114,0.24244638779357006,False
patrick bailey,453,104.0,0.27628635346756153,0.28465346534653463,0.602880252515289,0.6348387096774194,0.2913907284768212,0.27884615384615385,0.24149239699755404,False
andrew vaughn,447,79.0,0.31748878923766816,0.33164556962025316,0.7226936856247201,0.7354312354312355,0.1789709172259508,0.17721518987341772,0.22778717057547293,False
abraham toro,285,51.0,0.3047703180212014,0.327,0.6620879120879122,0.7379406307977736,0.14736842105263157,0.2549019607843137,0.22425778120230505,False
will smith,429,86.0,0.3874413145539906,0.40058823529411763,0.890251572327044,0.9016042780748663,0.20745920745920746,0.20930232558139536,0.21671439665152664,False
gavin sheets,546,101.0,0.3328413284132841,0.3484848484848485,0.7471800782916551,0.7735411839056245,0.19597069597069597,0.22772277227722773,0.2138270637946032,False
kristian campbell,263,53.0,0.3065134099616858,0.31320754716981136,0.6655888529617654,0.6696016771488469,0.2737642585551331,0.24528301886792453,0.21266732551529474,False
brenton doyle,538,85.0,0.29728464419475653,0.3108433734939759,0.6528098133780667,0.6617238183503245,0.25464684014869887,0.25882352941176473,0.2122991711976113,False
freddy fermin,348,71.0,0.3033923303834808,0.31940298507462683,0.6336876832844576,0.6622390891840607,0.1867816091954023,0.22535211267605634,0.21044932273400166,False
bo bichette,630,104.0,0.37419871794871795,0.3897058823529412,0.8384211618710538,0.8655790211190071,0.14444444444444443,0.18269230769230768,0.20647698448360752,False
jordan walker,396,62.0,0.2773417721518987,0.2887096774193548,0.58426613662517,0.6190211345939933,0.31565656565656564,0.3548387096774194,0.1969504373694759,False
agustín ramírez,586,105.0,0.31419965576592085,0.32941176470588235,0.7012991990188939,0.7154858299595142,0.189419795221843,0.21904761904761905,0.19682821499781908,False
otto lopez,594,105.0,0.3209322033898305,0.33106796116504855,0.6739076341196377,0.6748733535967579,0.13804713804713806,0.13333333333333333,0.19559802858518432,False
trevor larnach,567,84.0,0.3302654867256637,0.34404761904761905,0.730364243112752,0.7890295358649788,0.21516754850088182,0.2976190476190476,0.19034349276534573,False
jose iglesias,343,70.0,0.2980769230769231,0.3098484848484848,0.5938209111537791,0.5816976127320955,0.16326530612244897,0.15714285714285714,0.18607792116881514,False
jordan beck,589,85.0,0.33063139931740615,0.3252941176470588,0.7316802321913054,0.7482142857142857,0.29541595925297115,0.25882352941176473,0.18429484334078639,False
cal raleigh,706,129.0,0.4034883720930233,0.4128205128205128,0.9478259004839275,0.930002302555837,0.26487252124645894,0.24806201550387597,0.17939106262476376,False
brooks lee,528,92.0,0.29611005692599623,0.31467391304347825,0.653061224489796,0.6662248144220573,0.17045454545454544,0.22826086956521738,0.1769186477833784,False
francisco lindor,732,116.0,0.3585281980742778,0.3539473684210526,0.8148040265581495,0.8233700559869965,0.17896174863387979,0.14655172413793102,0.1712810430670494,False
matt olson,724,119.0,0.37094313453536754,0.37584745762711863,0.8512555555555557,0.8519011565022049,0.24033149171270718,0.23529411764705882,0.1710732925888695,False
jacob wilson,524,82.0,0.3665377176015474,0.371875,0.7986181998762449,0.7876890975482524,0.07442748091603053,0.06097560975609756,0.16659243028207066,False
michael conforto,480,76.0,0.28983228511530396,0.2855263157894737,0.6332810493347749,0.5987886382623224,0.24583333333333332,0.17105263157894737,0.1617631591166488,False
jake cronenworth,517,95.0,0.34597249508840866,0.3521739130434782,0.7455939418169846,0.7530913978494624,0.20502901353965183,0.23157894736842105,0.148787560961772,False
chandler simpson,441,77.0,0.3115825688073394,0.31842105263157894,0.6710150948622075,0.6466666666666667,0.09750566893424037,0.09090909090909091,0.14596557730169765,False
josh bell,536,78.0,0.3337121212121212,0.35000000000000003,0.7385906000167302,0.7127403846153846,0.1623134328358209,0.19230769230769232,0.14368883487736311,False
carson kelly,418,62.0,0.33920863309352517,0.33145161290322583,0.7611262488646684,0.7314754098360656,0.19138755980861244,0.12903225806451613,0.1375738085575339,False
xander bogaerts,557,105.0,0.326605504587156,0.32799999999999996,0.7173887449964681,0.7126436781609196,0.1687612208258528,0.17142857142857143,0.13756957680594822,False
mike tauchman,385,69.0,0.34986979166666665,0.3521739130434783,0.7567708333333334,0.7521493490542864,0.22077922077922077,0.2318840579710145,0.13178854573134036,False
